patent,jurisdiction,assignee,status,filing_date,expiration_date,abstract
US7226541,US,,,,2023-01-25,"The invention relates to a terpolymer of tetrafluoroethylene (TFE) monomer, polyvinylidene fluoride (PVDF) monomer and hexafluoropropylene (HFP) monomer for forming an ultrafiltration or microfiltration membrane, method of forming said membranes, and to the ultrafiltration or microfiltration membranes themselves. The invention also relates to a method of forming a polymeric ultrafiltration or microfiltration membrane including preparing a leachant resistant membrane dope which incorporates a leachable pore forming agent, casting a membrane from the dope and leaching the pore forming agent from the membrane. The invention also relates to a method of preparing a polymeric ultrafiltration or microfiltration membrane of improved structure including the step of adding a nucleating agent to the membrane dope before casting."
EP2457237B1,EP,,,,2030-07-21,
US8399072B2,US,,,,,
US5111497,US,,,,,
US6778882,US,,,,2022-06-03,"A business management method for trading in load estimations with interaction between an electrical energy supplier and a plurality of customer energy consumers, comprises the steps of: grouping the plurality of customers into respective customer circles such that each circle comprises a number of customers engaged in similar activities; developing respective load profiles for each of the customer circles for a predetermined period past; inputting the respective load profiles to an aggregate load profile estimator for providing an aggregate load estimate; and trading in the load estimate. The method is likewise applicable to other commodities such as a water supply, fuel gas supply, or the like."
US6104788,US,,,,2017-12-04,"A system and method enabling a user to remotely access an electronic calendar using a telephone network is provided. The system includes the electronic calendar for storing a plurality of schedules and a scheduler for accessing the schedules as a function of input signals received over the telephone network. Each schedule contains future appointments and events for either daily, weekly or other data interval periods. The scheduler enables selective retrieval and display of the appointments and events for any selected time period. The system is coupled to interfaces allowing the schedule information to be transmitted as audio information, video information, or e-mail information. The scheduler can compare the schedules to one another to automatically generate common meeting times. The common meeting time can then be transmitted to the various attendees using e-mail, audible instructions or voice mail."
US09375184,US,,,,,
US09064300,US,,,,,
CN101190149B,CN,,,,,
US10316826B2,US,,,,,
US7804936,US,,,,,
US8516449,US,,,,,
US7385372B2,US,,,,,
US07218249,US,,,,,
US7542756B2,US,,,,,
US5111497A,US,,,,,
EP1452481B1,EP,,,,,
US7547174,US,,,,,
US5961571,US,,,,,
US20190000564A1,US,,,,,
US9606550B2,US,,,,,
US07988357,US,,,,,
EP1370489B1,EP,,,,,
US11123932B2,US,,,,,
US7718065,US,,,,,
US08977525,US,,,,,
US7047753B2,US,,,,,
US06633742,US,,,,,
US09649765,US,,,,,
US07536276,US,,,,,
US9672631,US,,,,,
US09245091,US,,,,,
US6859747,US,,,,,
US09939503,US,,,,,
US7000422,US,,,,,
US10271817B2,US,,,,,
US07202814,US,,,,,
US9064332,US,,,,,
US9424324,US,,,,2032-08-08,"In a method for storing and providing medical image data in a distributed, computer-based system of a clinical facility comprising multiple satellites, wherein a satellite has at least one modality, an image administration server and at least one local database, and wherein the clinical facility also has a central database for the administration of the stored image data and a central long-term storage for long-term storage, the image data are acquired at the modality, the image data include metadata and pixel data, partial metadata in the metadata of the acquired image data are marked, at least the metadata of the image data acquired are locally stored at the respective satellites, the image data of the image data acquired at the respective satellites are centrally stored in the central long-term storage, all metadata stored in the local database in the central database are completely, centrally replicated, and the marked partial metadata of the image data from the central database are partially, automatically replicated at respective local databases of one, multiple or all satellites in order to be able to provide these image data at the satellites."
US9888893,US,,,,2035-11-26,"In a method and tomosynthesis apparatus for combined dual-energy mammography and tomosynthesis imaging of a predetermined volume of an examination subject, while contrast agent is flowing through the volume, an x-ray source is set to radiate x-rays at low and high radiation energy. A pre-shot of the volume is obtained with the high radiation energy, and recording parameters for high-energy images, low-energy images, and low-energy tomosynthesis scans are obtained from the pre-shot. A high-energy image is then obtained, followed by operating the x-ray source at a low energy, and a low-energy tomosynthesis scan of the volume is executed using the recording parameters, and a two-dimensional low-energy image of the volume is generated during the low-energy tomosynthesis scan."
US9194925,US,,,,,
US06714643,US,,,,,
US6401936B1,US,,,,,
US5963612A,US,,,,,
US09122821,US,,,,,
US7130403,US,,,,,
US10809692B2,US,,,,,
US8943478,US,,,,,
US8121360B2,US,,,,,
US08577655,US,,,,,
CN103009200B,CN,,,,2032-12-25,本发明公开了一种双轮数控轧辊磨床及其数控方法，该双轮数控轧辊磨床的小滑架上设计有U轴微进给机构，主机械传动箱采用主动润滑回路润滑，床身上安装有冷却水净化装置，大滑架导轨通过润滑油管与Z轴导轨液压站连接，Z轴导轨液压站采用动压润滑，砂轮、砂带轮分别连接共用的主轴液压站，砂轮、砂带轮的主轴前后均安装有动静压轴承、毛细管调节器，所述的砂轮主轴、砂带轮主轴均采用动静压润滑。本发明采用数控设定方式，轧辊曲线更改容易，磨削出的工件质量更高，并容易实现自动控制，减低了人工误操作的概率，具有十分优良的可重复性加工，能够保证批量生产的质量。
US6678357,US,,,,,
US7596402,US,,,,,
US09189851,US,,,,,
US6438216B1,US,,,,,
US20100076612A1,US,,,,,
US7090067,US,,,,,
US5404295,US,,,,,
US5318591A,US,,,,,
US7664482B2,US,,,,,
EP3310383B1,EP,,,,,
US07927984,US,,,,,
US9245091B2,US,,,,,
JP5193113B2,JP,,,,2029-03-31,
US4934366A,US,,,,,
US08249732,US,,,,,
US6753828B2,US,,,,,
US8243902,US,,,,,
US08548231,US,,,,,
US9403939B2,US,,,,,
US9663392,US,,,,,
CN114220337B,CN,,,,,
US11279023B2,US,,,,,
US7417359B2,US,,,,,
US7385372,US,,,,,
US7164972,US,,,,,
US5715325A,US,,,,,
US7953266,US,,,,,
US09190845,US,,,,,
US6253909B1,US,,,,,
US07848265,US,,,,,
US6501750,US,,,,,
US9878017B2,US,,,,,
US5821936A,US,,,,,
US8655461,US,,,,,
US6673501,US,,,,,
US8060186B2,US,,,,,
US7792342B2,US,,,,,
US07972584,US,,,,,
US6771262,US,,,,,
US08195844,US,,,,,
US8068654B2,US,,,,2030-08-19,"A method and system for detecting 3D objects in images is disclosed. In particular, a method and system for Ileo-Cecal Valve detection in 3D computed tomography (CT) images using incremental parameter learning and ICV specific prior learning is disclosed. First, second, and third classifiers are sequentially trained to detect candidates for position, scale, and orientation parameters of a box that bounds an object in 3D image. In the training of each sequential classifier, new training samples are generated by scanning the object's configuration parameters in the current learning projected subspace (position, scale, orientation), based on detected candidates resulting from the previous training step. This allows simultaneous detection and registration of a 3D object with full 9 degrees of freedom. ICV specific prior learning can be used to detect candidate voxels for an orifice of the ICV and to detect initial ICV box candidates using a constrained orientation alignment at each candidate voxel."
US6222544B1,US,,,,,
CN102096405B,CN,,,,,
US7548833,US,,,,,
CN101964737B,CN,,,,2030-11-08,本发明公开了一种基于PROFIBUS-DP主站现场总线的协议转换装置，其特征在于，包括依次相连的C101-PFB模件、C101-CPU模件、C101-DB模件，C101-PFB模件、C101-CPU模件、C101-DB模件之间通过256K字节高速共享内存交换数据，所述C101-PFB模件通过RS485串行电口（或与HFB2模件相通信，转换为光口）与各于PROFIBUS-DP子站进行组网互联。本发明可降低PROFIBUS-DP主站的开发成本。
US4809697A,US,,,,,
US5309919A,US,,,,,
US5350410,US,,,,,
US8686727,US,,,,,
US07272452,US,,,,,
CN102084038B,CN,,,,,
US11715823B2,US,,,,,
US9815201,US,,,,,
US6453336,US,,,,,
US10309668B2,US,,,,,
US20080033302A1,US,,,,,
US08462969,US,,,,,
US9122821,US,,,,2032-12-03,"Systems, methods, and computer readable mediums. A method includes receiving a three dimensional model for a simulation that includes a first material portion that extends between first and second material handling elements. The method includes simulating motion of the first and second material handling elements and simulating an interaction between the first material portion and the first and second material handling elements. The method includes maintaining a constraint between the first and second material handling elements according to the first material portion, dynamically updating the model and displaying the simulation, and storing the model. A method for fluid simulation is also discussed."
US7510655,US,,,,,
US06920318,US,,,,,
US7804990B2,US,,,,2029-07-30,"A method for assigning a lymph node in a medical image with an anatomical name, the method including: identifying landmarks in a medical image; computing features relative to the landmarks given a location of a lymph node in the medical image; and assigning an anatomical name to the location of the lymph node by using a classifier that compares the computed features with classification rules."
US8703931,US,,,,,
US7536276B2,US,,,,,
CN102364252B,CN,,,,2031-11-14,一种加热炉智能双交叉限幅燃烧自动控制方法，属于加热炉燃烧控制技术领域。采用温度自学习、模糊控制和PI参数自学习相结合，实现加热炉燃烧过程的智能双交叉限幅控制，有效的解决了加热炉燃烧的控制精度问题，同时很好的满足了热轧的生产节奏。优点在于，实现对煤气和空气流量的合理、准确和快速的调节和控制，有效地利用了调节阀的调节功能，实现对加热炉炉膛温度的合理、精准控制。
US08332061,US,,,,,
US6678357B2,US,,,,,
US7139685B2,US,,,,,
US6563941,US,,,,,
US20160224645A1,US,,,,,"Methods for building a semantic knowledge base for ontology-based data integration. A method includes receiving a semantic knowledge base related to an application domain, wherein the semantic knowledge base comprises a graph database and a global ontology schema, receiving a data collection related to an application domain, the data collection comprising structured data, semi-structured data, and unstructured data, annotating the unstructured data into annotated data using predefined metadata defined by the global ontology schema, mapping and converting the structured data and the semi-structured data to semantic data into the graph database, integrating the annotated data with the semantic data in the graph database, and storing the semantic knowledge base in a database."
US20120323393A1,US,,,,,
US9194959,US,,,,2033-12-11,"A high-resolution nuclear imaging detector for use in systems such as positron emission tomography includes a monolithic scintillator crystal block in combination with a single photomultiplier tube read-out channel for timing and total energy signals, and one or more solid-state photosensor pixels arrays on one or more vertical surfaces of the scintillator block to determine event position information."
US9939503B2,US,,,,2034-09-23,"A cylindrical superconducting magnet system for use in magnetic resonance imaging has axially aligned primary superconducting coils surrounded by a thermal radiation shield within a vacuum vessel. A gradient coil assembly is axially aligned with and located radially within the primary superconducting coils. An assembly support is, radially positioned outside of the primary superconducting coils and is mechanically attached to the gradient coil assembly at a number of locations around the circumference of the gradient coil assembly, and at a number of axial locations along the gradient coil assembly, by radially-directed mechanical attachments that pass though through-holes through the vacuum vessel and the thermal radiation shield, and mechanically isolated from the vacuum vessel. At least some of the mechanical attachments each comprise an active force transducer arranged to provide impulses of force onto a surface of the gradient coil assembly to oppose vibrations of the gradient coil assembly."
US7512450,US,,,,,
US07447333,US,,,,,
US08121360,US,,,,,
US07090067,US,,,,,
US9366378B2,US,,,,,
US5995594A,US,,,,,
CN100578404C,CN,,,,,
US07321803,US,,,,,
US4219873A,US,,,,,
US7511513B2,US,,,,,
US20080023431A1,US,,,,,"Systems, methods and computer program code for the measurement and control of sway in load transportation systems are provided which include using Micro-Electro-Mechanical Systems (MEMS) devices to measure and control the sway of suspended loads such as loads suspended from cranes."
CN101789190B,CN,,,,,
US5821936,US,,,,,
US9672631B2,US,,,,,
US8543191B2,US,,,,,
US6687877,US,,,,,
US09424324,US,,,,,
US09184530,US,,,,,
US7218249,US,,,,2025-11-30,A hand-held communication device provides navigation key-based predictive text entry. The hand-held communication device includes a housing generally sized to be held in a human hand having a display disposed for displaying characters selectable for entry in a character position of a text string being entered and a navigation key assembly for scrolling through and selecting from the characters displayed by the display. The characters displayed by the display during text entry are arranged according to the probability of selection of each character for entry in the character position so that the character with the highest probability of selection is selected with a single input from the navigation key assembly.
US8663506,US,,,,,
US8520920B2,US,,,,,
US20090080745A1,US,,,,,
US6289267,US,,,,,
US7505817,US,,,,,
EP1354220B1,EP,,,,,
US4935164,US,,,,,
US8778624,US,,,,,
US08228657,US,,,,,
US20110089105A1,US,,,,,
US06390756,US,,,,,
US5318591,US,,,,,
US09693742,US,,,,,
US8068650B2,US,,,,2030-06-30,A method for lesion detection includes acquiring pre-therapy medical image data from a first modality. Post-therapy medical image data is acquired from a second modality. A transformation matrix for transforming from an image space of the first modality to an image space of the second modality is calculated. A volume of interest is defined from the medical image data of the first modality. The volume of interest includes one or more lesions. The volume of interest is automatically copied to the medical image data of the second modality using the calculated transformation matrix. Treatment is directed to the lesion using the medical image data of the second modality including the copied volume of interest data.
US08805748,US,,,,,
US10307957B2,US,,,,2036-03-06,"A component of a computer-aided manufacturing (CAM) system may be configured to cause a processor to generate instructions that specify how a 3D-printer additively builds an article on a build plate via depositing material from a deposition head. The 3D printer is configured to cause the deposition head to rotate in order to selectively change, an angle of a deposition axis at which the deposition head outputs material. The generated instructions specify how the deposition head is operated by the 3D printer to build the article on the build plate such that material deposited along a side wall surface of the article is provided by the deposition head having its deposition axis orientated at an angle determined based at least in part on an angular orientation of the side wall surface."
US07006950,US,,,,,
US6390756B1,US,,,,,
US6738390,US,,,,,
US9395082B2,US,,,,,
US10316826,US,,,,,
US08954197,US,,,,,
US5123056A,US,,,,,
US6647735B2,US,,,,,
US07632439,US,,,,,
US7972584B2,US,,,,,
